"gene_name","Tau_index","ACC","BLCA","LGG","BRCA","CESC","CHOL","COAD","ESCA","GBM","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","DLBC","MESO","OV","PAAD","PCPG","PRAD","READ","SARC","SKCM","STAD","TGCT","THYM","THCA","UCS","UCEC","UVM"
"ENSG00000285711.1","LINC02835",0.96875,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000260289.2","AC093515.1",0.962001611304272,0,0.0099053021454979,0,0.0185173356098431,0,0.013473595130107,0,0.0251345198164502,0,0.00826893027645131,0,0.0134443588392412,0,0.0137217130426147,0.0177129378401131,0.0226333169442386,0.00397549847737514,0.00520259802537861,0.0107730276084185,0.00581334524578349,0,0,0,0.00728993185119121,0.00441242654554674,0.0248638432906861,1,0,0.00589585069480157,0.00490990687957317,0,0
"ENSG00000225546.6","LINC02476",0.943623823861129,1,0,0,0,0,0,0,0,0,0,0,0,0,0.126107975675035,0,0,0,0,0,0,0,0,0,0,0,0,0.651549001556768,0,0,0.0263806592120575,0,0
"ENSG00000285894.2","AL136372.2",0.934813102659673,0,0,0,0,0,0.51439282192722,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.571587892963245,0,0,0,0,0
"ENSG00000251138.7","LINC02882",0.929110479133201,0,0.0222928004451403,0.110305290973804,0,0,0,0.0109302831078337,0.223051213591525,0.0172214101114883,0,0,0,0,0.030798581188227,0.344580821560123,0.0361666275863172,0,0,0.0530939329080608,0.0572864196135255,0,0,0.00834263701403689,0,0.0114050716391141,0.191575037693482,1,0,0,0.137950866422269,0.0134636738826285,0
"ENSG00000233539.5","AC011294.1",0.928273591211289,0,0.0751019339908298,0.0229202049047299,0.00892593369677439,0.0378165785863513,0.0692636554104906,0,0.0290756937126479,0.0595417536097644,0.0114409909459502,0.11271021511665,0.023329398431517,0.0388080149864544,0.144503827924422,0.31276565598938,0.0356932517992805,0,0,0.0350852313588159,0.107693944973396,0,0.0092594553590391,0,0.0229824565307161,1,0.0317887972411295,0,0.00971248648662812,0,0.0588624542061907,0.0199255902976486,0.018037555679945
"ENSG00000253898.1","LINC01419",0.927462528751345,0,0,0,0,0,0,0,0.432789382718705,0,0,0,0,0,1,0,0.177773444327374,0,0,0,0,0,0,0,0,0,0.209938745289416,0.500697507621478,0,0,0,0,0
"ENSG00000225383.8","SFTA1P",0.925262534618296,0.015802649228468,0.00786375376361676,0.0782554149612479,0.0298896907178643,0.00247069975852837,0.00518882907908392,0.00619680292537092,0.011914236462914,0.068649153600929,0.033595965955724,0.0497739939430237,0.134352870996713,0.00390311942452727,0.0254321278982797,1,0.160453412987756,0.00850366740890671,0.419668686811238,0.023532741774836,0.015934571109565,0.0501447970721139,0.00196264726949755,0.00598398960609239,0.0718648812378568,0.0170579218197533,0.016569465553329,0.0136974724658852,0.0121181958212156,0.0837108811413981,0.00906943251435333,0,0.0080368189044449
"ENSG00000204832.10","ST8SIA6-AS1",0.91907264622409,0,0.00504483012860347,0.00914085614745798,0.465924504974474,0.00585924214947727,0.00555284319940182,0.0082977020521263,0.025095520316752,0.00673377425614351,0.00875738010069133,0.0971322360131464,0.0141831555324379,0,0.367616849970359,0.0112701599250903,0.022061257595124,0.00425648173404775,0.00306300539314336,0.00676152911046599,0.00893314171237983,0.00860597804868131,0.343221951009911,0.011476379048992,0.00314517487719874,0.0769537797198128,0.021795111139253,1,0.00252984551486498,0.00619495044876379,0.0130928230314773,0.00379593664859342,0.0231789210302646
"ENSG00000286448.1","AP006222.2",0.914378664219262,0,0,0,0,0,0,0,0.202321685686119,0,0,0,0,0,1,0.380819204076684,0,0,0,0.15572134676512,0.167816315207157,0.373014833243783,0.244984378057137,0,0,0,0.21520498194762,0,0,0,0,0,0
